Title,Description,URL
JSON,"JSON (JavaScript Object Notation) allows for easy interchange of data, often between a program and a database.",https://github.com/topics/json
The Julia Language,"Julia is a high-level, high-performance dynamic programming language for numerical computing.",https://github.com/topics/julia
Jupyter Notebook,"Jupyter Notebooks are documents that contain live code, visualizations, and narrative text.",https://github.com/topics/jupyter-notebook
Koa,Koa is an expressive middleware framework for Node.js servers that uses ES2017 async functions.,https://github.com/topics/koa
Kotlin,Kotlin is a statically typed programming language for multiplatform applications.,https://github.com/topics/kotlin
Kubernetes,"Kubernetes is an open source system for automating deployment, scaling, and management of containerized applications.",https://github.com/topics/kubernetes
Laravel,The PHP Framework for Web Artisans.,https://github.com/topics/laravel
LaTeX,LaTeX is a document preparation system.,https://github.com/topics/latex
Library,"A library is a collection of resources, often created to make programming a task simpler.",https://github.com/topics/library
Linux,Linux is an open source kernel.,https://github.com/topics/linux
Localization,Translation of a software interface and messages to another language plus to work with local cultures.,https://github.com/topics/localization
Lua,"Lua is a lightweight, embeddable scripting language.",https://github.com/topics/lua
Machine learning,Machine learning is a way of modeling and interpreting data that allows a piece of software to respond intelligently.,https://github.com/topics/machine-learning
macOS,macOS is Apple's operating system.,https://github.com/topics/macos
Markdown,Markdown is a lightweight markup language.,https://github.com/topics/markdown
Mastodon,"Mastodon is a free, decentralized, open-source microblogging network.",https://github.com/topics/mastodon
Material design,Material design is a unified system of theory and tools for creating digital experiences developed by Google.,https://github.com/topics/material-design
MATLAB,MATLAB is a programming platform for numerical computation and visualization.,https://github.com/topics/matlab
Maven,Maven is a build automation tool used primarily for Java projects.,https://github.com/topics/maven
Minecraft,Minecraft is a sandbox video game.,https://github.com/topics/minecraft
Mobile,"Mobile apps, mobile OS, mobile databases, & mobile testing frameworks.",https://github.com/topics/mobile
Monero,"Monero is a private, fungible, open source, decentralized cryptocurrency.",https://github.com/topics/monero
MongoDB,MongoDB is an open source NoSQL document-oriented database.,https://github.com/topics/mongodb
Mongoose,Mongoose is a MongoDB object modeling tool designed to work in an asynchronous environment.,https://github.com/topics/mongoose
Monitoring,"Monitor the impact of your code changes. Measure performance, track errors, and analyze your application.",https://github.com/topics/monitoring
MvvmCross,"The .NET MVVM framework for cross-platform solutions, including Xamarin.iOS, Xamarin.Android, Windows, and Mac.",https://github.com/topics/mvvmcross
MySQL,MySQL is an open source relational database management system.,https://github.com/topics/mysql
NativeScript,NativeScript is a JavaScript-native mobile framework.,https://github.com/topics/nativescript
Nim,"Nim is a statically typed, compiled, garbage-collected systems programming language.",https://github.com/topics/nim
Natural language processing,Natural language processing (NLP) is the study of how computers and humans interact.,https://github.com/topics/nlp
Node.js,Node.js is a tool for executing JavaScript in a variety of environments.,https://github.com/topics/nodejs
NoSQL,A NoSQL database refers to a database whose storage format is modeled differently from relational databases.,https://github.com/topics/nosql
npm,npm is a package manager for JavaScript included with Node.js.,https://github.com/topics/npm
Objective-C,"Objective-C is general purpose, object-oriented programming language used for macOS and iOS operating systems.",https://github.com/topics/objective-c
OpenGL,OpenGL is a software interface that allows a programmer to communicate with graphics hardware.,https://github.com/topics/opengl
Operating system,An operating system is a program that manages a computer's programs and applications.,https://github.com/topics/operating-system
P2P,Peer-to-Peer applications are decentralized or distributed.,https://github.com/topics/p2p
Package manager,A package manager is a set of tools that automates and manages computer software.,https://github.com/topics/package-manager
Parsing,Parsing is the process of analyzing a string of symbols conforming to the rules of a formal grammar.,https://github.com/topics/parsing
Perl,Perl is a highly capable and feature-rich programming language.,https://github.com/topics/perl
Phaser,"Phaser is a fun, free, and fast 2D game framework for making HTML5 games for desktop and mobile web browsers.",https://github.com/topics/phaser
PHP,PHP is a popular general-purpose scripting language that works particularly well for server-side web development.,https://github.com/topics/php
PICO-8,"PICO-8 is a fantasy console for making, sharing and playing tiny games and other computer programs in Lua.",https://github.com/topics/pico-8
Pixel Art,Pixel art is a form of digital art where images are created and edited at the pixel level.,https://github.com/topics/pixel-art
PostgreSQL,PostgreSQL is an open source database system.,https://github.com/topics/postgresql
Project management,Project management is about building scope and executing on the project's goals.,https://github.com/topics/project-management
Publishing,Publishing is the dissemination of making information available to the general public through various mediums.,https://github.com/topics/publishing
PWA,Progressive Web Apps are traditional web sites that are enhanced with native like features.,https://github.com/topics/pwa
Python,Python is a dynamically typed programming language.,https://github.com/topics/python
Qt,"Qt, pronounced ""cute"", is a cross-platform application development framework.",https://github.com/topics/qt
R,R is a free programming language and software environment for statistical computing and graphics.,https://github.com/topics/r
Rails,Ruby on Rails (Rails) is a web application framework written in Ruby.,https://github.com/topics/rails
Raspberry Pi,The Raspberry Pi is a popular single-board computer.,https://github.com/topics/raspberry-pi
Ratchet,Ratchet is a set of libraries to handle WebSockets asynchronously in PHP.,https://github.com/topics/ratchet
React,React is an open source JavaScript library used for designing user interfaces.,https://github.com/topics/react
React Native,React Native is a JavaScript mobile framework developed by Facebook.,https://github.com/topics/react-native
ReactiveUI,"ReactiveUI is a composable, cross-platform model-view-viewmodel framework for all .NET platforms.",https://github.com/topics/reactiveui
Redux,Redux is a predictable state container for JavaScript apps.,https://github.com/topics/redux
REST API,A representational state transfer (REST) API is a way to provide compatibility between computer systems on the internet.,https://github.com/topics/rest-api
Ruby,Ruby is a scripting language designed for simplified object-oriented programming.,https://github.com/topics/ruby
Rust,Rust is a systems programming language created by Mozilla.,https://github.com/topics/rust
Sass,Sass is a stable extension to classic CSS.,https://github.com/topics/sass
Scala,Scala is an object-oriented programming language.,https://github.com/topics/scala
scikit-learn,scikit-learn is a Python module for machine learning.,https://github.com/topics/scikit-learn
Software-defined networking,"Software-defined networking (SDN) is an architecture for programmable, centrally managed networks.",https://github.com/topics/sdn
Security,"Cybersecurity is the protection of computer hardware, software, and data from theft, damage, and malicious intent.",https://github.com/topics/security
Server,A server is a program made to process requests and deliver data to clients.,https://github.com/topics/server
Serverless,Serverless architecture refers to apps that depend on third-party services or custom code.,https://github.com/topics/serverless
Shell,"A shell is a command-line tool, designed to be run by the Unix shell.",https://github.com/topics/shell
Sketch,"Sketch is a vector graphics editor for Apple's macOS, used primarily for user interface and icon design.",https://github.com/topics/sketch
SpaceVim,SpaceVim is a community-driven distribution of the vim editor that allows managing your plugins in layers.,https://github.com/topics/spacevim
Spring Boot,Spring Boot is a coding and configuration model for Java applications.,https://github.com/topics/spring-boot
SQL,"SQL is a standard language for storing, retrieving and manipulating data in databases.",https://github.com/topics/sql
Storybook,Storybook is a UI development environment for your UI components.,https://github.com/topics/storybook
Support,Get your team and customers the help they need.,https://github.com/topics/support
Swift,"Swift is a modern programming language focused on safety, performance, and expressivity.",https://github.com/topics/swift
Symfony,Symfony is a set of reusable PHP components and a web framework.,https://github.com/topics/symfony
Telegram,"Telegram is a non-profit, cloud-based instant messaging service.",https://github.com/topics/telegram
Tensorflow,TensorFlow is an open source software library for numerical computation.,https://github.com/topics/tensorflow
Terminal,The terminal is an interface in which you can type and execute text-based commands.,https://github.com/topics/terminal
Terraform,"An infrastructure-as-code tool for building, changing, and versioning infrastructure safely and efficiently.",https://github.com/topics/terraform
Testing,Eliminate bugs and ship with more confidence by adding these tools to your workflow.,https://github.com/topics/testing
Twitter,"Twitter is an online news and social networking service where users post and interact with messages, known as “Tweets”.",https://github.com/topics/twitter
TypeScript,TypeScript is a typed superset of JavaScript that compiles to plain JavaScript.,https://github.com/topics/typescript
Ubuntu,Ubuntu is a Linux-based operating system.,https://github.com/topics/ubuntu
Unity,"Unity is a game engine used to create 2D/3D video games, and simulations for computers, consoles, and mobile devices.",https://github.com/topics/unity
Unreal Engine,"Unreal Engine is used to create awesome games, and experiences for PC, mobile, console, VR, and AR.",https://github.com/topics/unreal-engine
Vagrant,Vagrant is an open-source software product for building and maintaining portable virtual software development environments.,https://github.com/topics/vagrant
Vim,Vim is a console-run text editor program.,https://github.com/topics/vim
Virtual reality,Virtual reality is an artificial environment displayed through digital means.,https://github.com/topics/virtual-reality
Vue.js,Vue.js is a JavaScript framework for building interactive web applications.,https://github.com/topics/vue
Wagtail,Wagtail is an open source CMS written in Python and built on the Django web framework.,https://github.com/topics/wagtail
Web Components,Web Components are a set of web platform APIs developers can use to create custom HTML tags.,https://github.com/topics/web-components
Web app,A web application is any computer program that performs a specific function by using a web browser as its client.,https://github.com/topics/webapp
Webpack,Webpack is a bundler that takes modules with dependencies and creates static assets.,https://github.com/topics/webpack
Windows,Windows is Microsoft's GUI-based operating system.,https://github.com/topics/windows
WordPlate,WordPlate is a modern WordPress stack which simplifies WordPress development.,https://github.com/topics/wordplate
WordPress,"WordPress is a popular content management system, used for websites and blogs.",https://github.com/topics/wordpress
Xamarin,Xamarin is a platform for developing iOS and Android applications.,https://github.com/topics/xamarin
XML,XML is subset of SGML (Standard Generalized Markup Language) used to store and transport data.,https://github.com/topics/xml
